,open,high,low,close,volume
2017-01-03 09:31:00,8.84,8.84,8.83,8.83,970706.0
2017-01-03 09:32:00,8.83,8.84,8.83,8.83,446830.0
2017-01-03 09:33:00,8.83,8.84,8.83,8.83,376581.0
2017-01-03 09:34:00,8.83,8.84,8.82,8.83,185510.0
2017-01-03 09:35:00,8.83,8.83,8.82,8.83,103931.0
2017-01-03 09:36:00,8.82,8.83,8.82,8.82,156050.0
2017-01-03 09:37:00,8.82,8.83,8.82,8.83,177990.0
2017-01-03 09:38:00,8.83,8.83,8.82,8.83,139570.0
2017-01-03 09:39:00,8.82,8.83,8.82,8.83,159759.0
2017-01-03 09:40:00,8.82,8.83,8.82,8.82,205080.0
2017-01-03 09:41:00,8.82,8.83,8.82,8.83,186128.0
2017-01-03 09:42:00,8.82,8.83,8.82,8.83,191896.0
2017-01-03 09:43:00,8.83,8.83,8.82,8.83,700116.0
2017-01-03 09:44:00,8.83,8.84,8.83,8.84,752236.0
2017-01-03 09:45:00,8.84,8.84,8.83,8.83,537782.0
2017-01-03 09:46:00,8.83,8.84,8.83,8.84,876973.0
2017-01-03 09:47:00,8.84,8.85,8.84,8.85,1098946.0
2017-01-03 09:48:00,8.85,8.86,8.84,8.86,1134070.0
2017-01-03 09:49:00,8.86,8.87,8.85,8.86,788287.0
2017-01-03 09:50:00,8.86,8.87,8.85,8.87,744716.0
2017-01-03 09:51:00,8.87,8.88,8.87,8.88,1820898.0
2017-01-03 09:52:00,8.88,8.9,8.88,8.9,614520.0
2017-01-03 09:53:00,8.9,8.9,8.89,8.9,551790.0
2017-01-03 09:54:00,8.9,8.9,8.88,8.89,949590.0
2017-01-03 09:55:00,8.89,8.89,8.88,8.88,294384.0
2017-01-03 09:56:00,8.89,8.9,8.88,8.88,672511.0
2017-01-03 09:57:00,8.89,8.89,8.88,8.89,165939.0
2017-01-03 09:58:00,8.89,8.9,8.88,8.89,353199.0
2017-01-03 09:59:00,8.89,8.9,8.89,8.89,327243.0
2017-01-03 10:00:00,8.89,8.9,8.89,8.9,314985.0
2017-01-03 10:01:00,8.9,8.91,8.89,8.9,1509106.0
2017-01-03 10:02:00,8.91,8.91,8.9,8.9,490194.0
2017-01-03 10:03:00,8.91,8.91,8.89,8.89,382246.0
2017-01-03 10:04:00,8.9,8.9,8.89,8.9,323328.0
2017-01-03 10:05:00,8.9,8.9,8.89,8.9,150797.0
2017-01-03 10:06:00,8.89,8.9,8.89,8.89,202196.0
2017-01-03 10:07:00,8.89,8.9,8.89,8.89,190866.0
2017-01-03 10:08:00,8.9,8.9,8.89,8.9,601850.0
2017-01-03 10:09:00,8.9,8.9,8.89,8.9,322504.0
2017-01-03 10:10:00,8.89,8.9,8.89,8.9,170574.0
2017-01-03 10:11:00,8.9,8.9,8.89,8.9,132463.0
2017-01-03 10:12:00,8.9,8.9,8.89,8.9,247209.0
2017-01-03 10:13:00,8.9,8.9,8.89,8.89,133390.0
2017-01-03 10:14:00,8.9,8.9,8.89,8.9,106094.0
2017-01-03 10:15:00,8.9,8.9,8.89,8.9,293148.0
2017-01-03 10:16:00,8.9,8.9,8.89,8.89,74781.0
2017-01-03 10:17:00,8.89,8.9,8.89,8.89,232479.0
